Not using distributed mode
Namespace(aux_loss=False, batch_size=3, dataset='coco', device='cuda', dist_url='env://', distributed=False, epochs=30, lr=0.01, model='fcn_resnet101', momentum=0.9, output_dir='.', pretrained=True, print_freq=10, resume='', start_epoch=0, test_only=True, weight_decay=0.0001, workers=0, world_size=1)
loading annotations into memory...
Done (t=14.17s)
creating index...
index created!
loading annotations into memory...
Done (t=0.44s)
creating index...
index created!
Test:  [   0/1667]  eta: 0:19:15    time: 0.6931  data: 0.0886  max mem: 684
---------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                                     Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                         
---------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
convolution                              0.01%            2.893ms          0.57%            231.916ms        530.699us        0.19%            233.755ms        534.909us        437              [[1, 256, 98, 65], [1024, 256, 1, 1  
_convolution                             0.03%            12.507ms         0.56%            229.023ms        524.080us        0.19%            232.412ms        531.836us        437              [[1, 256, 98, 65], [1024, 256, 1, 1  
convolution                              0.00%            619.833us        0.28%            113.371ms        1.232ms          0.19%            224.163ms        2.437ms          92               [[1, 1024, 65, 98], [256, 1024, 3,   
relu_                                    0.07%            29.951ms         0.13%            52.251ms         24.693us         0.18%            223.954ms        105.838us        2116             [[1024, 65, 98]]                     
_convolution                             0.01%            2.703ms          0.28%            112.752ms        1.226ms          0.18%            223.908ms        2.434ms          92               [[1, 1024, 65, 98], [256, 1024, 3,   
---------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Self CPU time total: 40.847s
CUDA time total: 121.142s

global correct: 90.8
average row correct: ['93.1', '92.4', '71.4', '42.1', '80.1', '43.2', '77.5', '70.0', '96.3', '58.1', '16.9', '72.5', '90.3', '91.0', '65.4', '91.7', '74.5', '85.7', '58.3', '72.6', '55.3']
IoU: ['89.2', '88.9', '49.6', '32.7', '57.0', '34.5', '71.8', '64.1', '90.1', '50.1', '13.6', '35.8', '43.8', '83.0', '61.0', '83.3', '47.5', '74.3', '49.1', '68.4', '50.5']
mean IoU: 59.0
