Not using distributed mode
Namespace(aux_loss=False, batch_size=3, dataset='coco', device='cuda', dist_url='env://', distributed=False, epochs=30, lr=0.01, model='fcn_resnet101', momentum=0.9, output_dir='.', pretrained=True, print_freq=10, resume='', start_epoch=0, test_only=True, weight_decay=0.0001, workers=0, world_size=1)
loading annotations into memory...
Done (t=13.98s)
creating index...
index created!
loading annotations into memory...
Done (t=0.41s)
creating index...
index created!
Test:  [   0/1667]  eta: 0:18:35    time: 0.6694  data: 0.0871  max mem: 809
Test:  [ 100/1667]  eta: 0:12:37    time: 0.4787  data: 0.0633  max mem: 1367
Test:  [ 200/1667]  eta: 0:12:09    time: 0.5153  data: 0.0705  max mem: 1575
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                         Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                         
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
cudnn_convolution            0.06%            74.357ms         0.28%            372.479ms        564.362us        0.35%            1.716s           2.599ms          660              [[3, 1024, 98, 98], [256, 1024, 1,   
conv2d                       0.00%            725.584us        0.02%            27.572ms         306.353us        0.33%            1.617s           17.967ms         90               [[3, 512, 87, 98], [512, 512, 3, 3]  
convolution                  0.00%            651.626us        0.02%            26.846ms         298.291us        0.33%            1.617s           17.965ms         90               [[3, 512, 87, 98], [512, 512, 3, 3]  
_convolution                 0.00%            3.080ms          0.02%            26.195ms         291.051us        0.33%            1.616s           17.961ms         90               [[3, 512, 87, 98], [512, 512, 3, 3]  
cudnn_convolution            0.01%            14.000ms         0.02%            21.369ms         237.432us        0.33%            1.614s           17.936ms         90               [[3, 512, 87, 98], [512, 512, 3, 3]  
conv2d                       0.00%            5.454ms          0.64%            854.896ms        1.295ms          0.31%            1.525s           2.311ms          660              [[3, 1024, 87, 98], [256, 1024, 1,   
convolution                  0.00%            5.754ms          0.63%            849.441ms        1.287ms          0.31%            1.524s           2.309ms          660              [[3, 1024, 87, 98], [256, 1024, 1,   
_convolution                 0.14%            190.975ms        0.63%            843.688ms        1.278ms          0.31%            1.522s           2.306ms          660              [[3, 1024, 87, 98], [256, 1024, 1,   
cudnn_convolution            0.05%            73.288ms         0.25%            329.700ms        499.546us        0.31%            1.506s           2.282ms          660              [[3, 1024, 87, 98], [256, 1024, 1,   
conv2d                       0.00%            5.376ms          0.21%            280.290ms        406.217us        0.28%            1.377s           1.995ms          690              [[3, 256, 98, 98], [1024, 256, 1, 1  
convolution                  0.01%            8.892ms          0.20%            274.914ms        398.426us        0.28%            1.375s           1.992ms          690              [[3, 256, 98, 98], [1024, 256, 1, 1  
_convolution                 0.02%            26.999ms         0.20%            266.021ms        385.538us        0.28%            1.372s           1.989ms          690              [[3, 256, 98, 98], [1024, 256, 1, 1  
conv2d                       0.00%            2.387ms          0.07%            88.362ms         295.526us        0.28%            1.365s           4.564ms          299              [[3, 256, 87, 87], [256, 256, 3, 3]  
convolution                  0.00%            2.136ms          0.06%            85.975ms         287.543us        0.28%            1.364s           4.562ms          299              [[3, 256, 87, 87], [256, 256, 3, 3]  
_convolution                 0.01%            9.308ms          0.06%            83.840ms         280.400us        0.28%            1.363s           4.559ms          299              [[3, 256, 87, 87], [256, 256, 3, 3]  
cudnn_convolution            0.06%            82.199ms         0.16%            212.528ms        308.011us        0.28%            1.356s           1.965ms          690              [[3, 256, 98, 98], [1024, 256, 1, 1  
cudnn_convolution            0.02%            31.057ms         0.05%            67.933ms         227.201us        0.28%            1.356s           4.534ms          299              [[3, 256, 87, 87], [256, 256, 3, 3]  
